Date, Close/Last, Volume, Open, High, Low
01/14/2020, $416.14, 967466, $417.59, $418.27, $415.0669
01/13/2020, $419.02, 986889, $414.94, $420.96, $414.6601
01/10/2020, $413.83, 987835, $415, $415.6, $412.48
01/09/2020, $414.93, 1064337, $410.49, $416, $410
01/08/2020, $411.03, 1709701, $417.06, $418.1803, $409.72
01/07/2020, $414.5, 1081521, $411.25, $416.12, $408.29
01/06/2020, $413.11, 2478943, $417.99, $417.99, $407.69
01/03/2020, $413.74, 2990531, $404.02, $417.17, $403
01/02/2020, $399.37, 1149985, $392.86, $399.37, $390.95
12/31/2019, $389.38, 775368, $391.75, $391.98, $387.07
12/30/2019, $391.9, 776966, $393.65, $393.76, $390.8672
12/27/2019, $393.6, 729315, $393.99, $394.5, $391.94
12/26/2019, $392.3, 711713, $390.9, $392.45, $390.48
12/24/2019, $390.17, 516250, $392.35, $392.35, $389.53
12/23/2019, $391.9, 1050417, $387.66, $394.69, $387.59
12/20/2019, $386.47, 1599765, $385.03, $386.6373, $383
12/19/2019, $383.15, 899285, $380.99, $384.68, $380.23
12/18/2019, $380.57, 1526018, $387.4, $387.64, $379.66
12/17/2019, $386.89, 730134, $385, $388, $385
12/16/2019, $385.95, 847464, $387.9, $388.35, $384.048
12/13/2019, $386.47, 658026, $384, $387.78, $383.995
12/12/2019, $384.05, 736539, $386, $387.7899, $383.45
12/11/2019, $386.24, 579709, $385.51, $386.612, $384.03
12/10/2019, $384.44, 862109, $383.5, $386.77, $383.25
12/09/2019, $383.34, 833635, $386.22, $387.42, $383.23
12/06/2019, $386.86, 709743, $387.17, $388.9, $385.1
12/05/2019, $385.94, 1203937, $386.06, $386.5, $383.01
12/04/2019, $384.58, 1081122, $383.53, $387.95, $382.28
12/03/2019, $381.62, 1502875, $381.43, $384.64, $380.141
12/02/2019, $383.62, 1283565, $390.71, $391.53, $383.44
11/29/2019, $391.03, 401529, $392, $392.1951, $390.042
11/27/2019, $394.24, 770302, $393.63, $394.48, $391.62
11/26/2019, $392.5, 1206645, $390.6, $395.95, $389.98
11/25/2019, $389.98, 801371, $391.6, $393.1, $387.49
11/22/2019, $390.74, 758654, $390.19, $391.3894, $387.82
11/21/2019, $390.26, 1416867, $390.86, $392.25, $389.32
11/20/2019, $392.7, 907757, $391.06, $393.54, $390.25
11/19/2019, $390.81, 800294, $394, $395.8232, $390.53
11/18/2019, $392.76, 827764, $393, $395.675, $391.95
11/15/2019, $393.55, 1533552, $392.27, $394.49, $390.28
11/14/2019, $390.16, 915586, $387.28, $392.3, $387.28
11/13/2019, $387.69, 962410, $385.94, $390.52, $385.09
11/12/2019, $386.3, 910737, $381.56, $387.5, $381.56
11/11/2019, $381.38, 580913, $379.51, $383.41, $379.31
11/08/2019, $381.86, 783576, $377.6, $382.88, $377.6
11/07/2019, $378.75, 1157244, $380.34, $382.74, $377.91
11/06/2019, $379.79, 1505809, $374.49, $379.93, $374.03
11/05/2019, $373.63, 1364210, $374.06, $375.77, $371.31
11/04/2019, $374.48, 1117519, $379.93, $380.78, $372.18
11/01/2019, $379.17, 915629, $378.11, $380.95, $376.935
10/31/2019, $376.68, 911811, $377.92, $380.18, $375.26
10/30/2019, $378.64, 1064902, $373.22, $378.99, $371.47
10/29/2019, $371.1, 1298549, $371.65, $375.25, $370.04
10/28/2019, $371.84, 1322105, $371.39, $375.45, $370.12
10/25/2019, $370.73, 1173479, $374.38, $374.885, $369.54
10/24/2019, $374.74, 1137189, $373.76, $377.46, $372
10/23/2019, $373.09, 1289629, $373.78, $374.99, $368.73
10/22/2019, $373.68, 2595285, $363, $377.5, $363
10/21/2019, $374.05, 1174602, $374.01, $375.89, $372.73
10/18/2019, $372.48, 1935666, $376.72, $377.71, $368
10/17/2019, $377.06, 1005147, $383.55, $384.21, $376.29
10/16/2019, $382.84, 855112, $382.39, $384.385, $380.23
10/15/2019, $382.75, 851382, $383.69, $385.7, $382.07
10/14/2019, $382.61, 623447, $382.77, $385.37, $381.39
10/11/2019, $381.47, 1329367, $389.79, $390.73, $381.25
10/10/2019, $386.88, 700457, $383.99, $388.5071, $383.2
10/09/2019, $384.61, 712573, $384.83, $386.33, $382.5
10/08/2019, $382.12, 1001446, $381.06, $385.8, $379.29
10/07/2019, $383.78, 864344, $385.01, $386.68, $382.69
10/04/2019, $384.95, 771915, $380.21, $385.24, $379.49
10/03/2019, $380.06, 928845, $378.87, $381.19, $374.33
10/02/2019, $378.16, 1763814, $382.74, $383.06, $374.0676
10/01/2019, $384.19, 1240345, $391.43, $392.48, $383.89
09/30/2019, $390.06, 1293800, $388.56, $393.82, $388.4218
09/27/2019, $387.87, 751895, $395.94, $395.95, $386.43
09/26/2019, $392.92, 881099, $391.25, $394.64, $388.93
09/25/2019, $390.43, 1337184, $390.58, $390.9, $387.71
09/24/2019, $389.17, 1187707, $390, $392.99, $387.21
09/23/2019, $387.67, 1155542, $388.07, $390.06, $386.11
09/20/2019, $388.25, 2132356, $394.49, $395.44, $388.05
09/19/2019, $393.43, 1046876, $397.14, $398.5, $393.03
09/18/2019, $397.04, 784503, $394.78, $397.23, $391.5506
09/17/2019, $393.98, 978401, $392.47, $399.96, $388.4321
09/16/2019, $392.66, 1689923, $388.9, $394.6, $386.89
09/13/2019, $384.86, 898638, $387.77, $387.77, $383.6
09/12/2019, $386.63, 855144, $384.49, $388.51, $383.27
09/11/2019, $381.55, 1125255, $381.2, $385.8, $380.055
09/10/2019, $381.32, 1297959, $377.29, $381.32, $370.46
09/09/2019, $380.21, 1146949, $387.95, $388.29, $380.04
09/06/2019, $386.56, 701065, $387.28, $388.45, $385.81
09/05/2019, $385.15, 941775, $390.48, $393.4284, $384.98
09/04/2019, $389.08, 792243, $387.31, $389.7, $385.9
09/03/2019, $384.69, 891668, $380.99, $385.18, $379.79
08/30/2019, $384.11, 760901, $383.25, $384.74, $381.51
08/29/2019, $384.43, 1063524, $384.53, $385.78, $380.8001
08/28/2019, $380.97, 820584, $379.04, $383, $376.774
08/27/2019, $379.99, 760325, $381.75, $382.21, $377.25
08/26/2019, $380.32, 688219, $380, $380.56, $375.5
08/23/2019, $376.89, 1393141, $385.28, $386.93, $374.6146
08/22/2019, $385.88, 742580, $383, $386.65, $380.72
08/21/2019, $383, 791496, $384, $384.275, $379.29
08/20/2019, $381.75, 920614, $380.5, $384.1, $379.5
08/19/2019, $380.47, 799914, $379.75, $381.6818, $378.5203
08/16/2019, $377, 821356, $376.1, $378.34, $373.37
