Date, Close/Last, Volume, Open, High, Low
3/11/2020,$634.23 ,13413590,$640.20 ,$653.58 ,$613 
3/10/2020,$645.33 ,15594440,$659.43 ,$668 ,$608 
3/9/2020,$608 ,17073740,$605.39 ,$663.00 ,$605 
3/6/2020,$703.48 ,12662920,$690.00 ,$707 ,$684.27 
3/5/2020,$724.54 ,10852660,$723.77 ,$745.75 ,$718.07 
3/4/2020,$749.50 ,15048980,$763.96 ,$766.52 ,$724.73 
3/3/2020,$745.51 ,25784000,$805 ,$806.98 ,$716.11 
3/2/2020,$743.62 ,20194990,$711.26 ,$743.69 ,$686.67 
2/28/2020,$667.99 ,24564170,$629.70 ,$690.52 ,$611.52 
2/27/2020,$679 ,24277160,$730 ,$739.77 ,$669 
2/26/2020,$778.80 ,14153840,$782.50 ,$813.31 ,$776.11 
2/25/2020,$799.91 ,17290480,$849 ,$856.60 ,$787 
2/24/2020,$833.79 ,15192160,$839 ,$863.50 ,$822.20 
2/21/2020,$901 ,14339450,$906.98 ,$913.06 ,$880.45 
2/20/2020,$899.41 ,17634890,$911.95 ,$912 ,$859.94 
2/19/2020,$917.42 ,25422960,$923.50 ,$944.78 ,$901.02 
2/18/2020,$858.40 ,16698370,$841.60 ,$860 ,$832.36 
2/14/2020,$800.03 ,15693710,$787.22 ,$812.97 ,$785.50 
2/13/2020,$804 ,26289350,$741.84 ,$818 ,$735 
2/12/2020,$767.29 ,12022470,$777.87 ,$789.75 ,$763.37 
2/11/2020,$774.38 ,11697470,$768.79 ,$783.51 ,$758 
2/10/2020,$771.28 ,24689160,$800 ,$819.99 ,$752.40 
2/7/2020,$748.07 ,17063520,$730.55 ,$769.75 ,$730 
2/6/2020,$748.96 ,39880750,$699.92 ,$795.83 ,$687 
2/5/2020,$734.70 ,48423840,$823.26 ,$845.98 ,$704.11 
2/4/2020,$887.06 ,60938760,$882.96 ,$968.99 ,$833.88 
2/3/2020,$780 ,47233500,$673.69 ,$786.14 ,$673.52 
1/31/2020,$650.57 ,15719270,$640 ,$653 ,$632.52 
1/30/2020,$640.81 ,29005680,$632.42 ,$650.88 ,$618 
1/29/2020,$580.99 ,18216670,$575.69 ,$589.80 ,$567.43 
1/28/2020,$566.90 ,11788490,$568.49 ,$576.81 ,$558.08 
1/27/2020,$558.02 ,13608070,$541.99 ,$564.44 ,$539.28 
1/24/2020,$564.82 ,14353600,$570.63 ,$573.86 ,$554.26 
1/23/2020,$572.20 ,19651040,$564.25 ,$582 ,$555.60 
1/22/2020,$569.56 ,31369030,$571.89 ,$594.50 ,$559.10 
1/21/2020,$547.20 ,17803470,$530.25 ,$548.58 ,$528.41 
1/17/2020,$510.50 ,13629070,$507.61 ,$515.67 ,$503.16 
1/16/2020,$513.49 ,21736650,$493.75 ,$514.46 ,$492.17 
1/15/2020,$518.50 ,17368830,$529.76 ,$537.84 ,$516.79 
1/14/2020,$537.92 ,29061380,$544.26 ,$547.41 ,$524.90 
1/13/2020,$524.86 ,26634550,$493.50 ,$525.63 ,$492 
1/10/2020,$478.15 ,12976830,$481.79 ,$484.94 ,$473.70 
1/9/2020,$481.34 ,28463190,$497.10 ,$498.80 ,$472.87 
1/8/2020,$492.14 ,31199390,$473.70 ,$498.49 ,$468.23 
1/7/2020,$469.06 ,18209140,$461.40 ,$471.63 ,$453.36 
1/6/2020,$451.54 ,10157500,$440.47 ,$451.56 ,$440 
